Date,Stock_name,Open,High,Low,Close,Adj_Close,Volume
2021-12-09,MSFT,334.41,336.49,332.12,333.1,320.873,22214200
2021-12-09,SPY,468.15,469.63,466.14,466.35,437.26135,61272600
2021-12-10,AAPL,175.21,179.63,174.69,179.45,175.43694,115402704
2021-12-10,MSFT,334.98,343,334.79,342.54,329.9664,38095700
2021-12-10,SPY,469.23,470.9,466.51,470.74,441.3776,77159800
2021-12-13,AAPL,181.12,182.13,175.53,175.74,171.80992,153236992
2021-12-13,MSFT,340.68,343.79,339.08,339.4,326.94162,28899400
2021-12-13,SPY,470.19,470.56,466.27,466.57,437.4677,87724704
2021-12-14,AAPL,175.25,177.74,172.21,174.33,170.43146,139380400
2021-12-14,MSFT,333.22,334.64,324.11,328.34,316.28766,44438700
2021-12-14,SPY,463.09,465.74,460.25,463.36,434.45792,97264096
2021-12-15,AAPL,175.11,179.5,172.31,179.3,175.29033,131063296
2021-12-15,MSFT,328.61,335.19,324.5,334.65,322.36597,35381100
2021-12-15,SPY,463.42,470.86,460.74,470.6,441.2463,116899296
2021-12-16,AAPL,179.28,181.14,170.75,172.26,168.40778,150185792
2021-12-16,MSFT,335.71,336.76,323.02,324.9,312.97385,35034800
2021-12-16,SPY,472.57,472.87,464.8,466.45,437.35522,116568600
2021-12-17,AAPL,169.93,173.47,169.69,171.14,167.3128,195432704
2021-12-17,MSFT,320.88,324.92,317.25,323.8,311.91425,47750300
2021-12-17,SPY,461.55,464.74,458.06,459.87,432.70044,135511600
2021-12-20,AAPL,168.28,170.58,167.46,169.75,165.95393,107499104
2021-12-20,MSFT,320.05,322.8,317.57,319.91,308.1671,28326500
2021-12-20,SPY,454.48,455.4,451.14,454.98,428.09937,107134800
2021-12-21,AAPL,171.56,173.2,169.12,172.99,169.12144,91185904
2021-12-21,MSFT,323.29,327.73,319.8,327.29,315.27615,24740600
2021-12-21,SPY,458.61,463.21,456.31,463.06,435.70197,69806304
2021-12-22,AAPL,173.04,175.86,172.15,175.64,171.71217,92135296
2021-12-22,MSFT,328.3,333.61,325.75,333.2,320.9693,24831500
2021-12-22,SPY,462.79,467.81,462.58,467.69,440.05838,58890200
2021-12-23,AAPL,175.85,176.85,175.27,176.28,172.33786,68356600
2021-12-23,MSFT,332.75,336.39,332.73,334.69,322.4045,19617800
2021-12-23,SPY,468.75,472.19,468.64,470.6,442.7965,56439700
2021-12-27,AAPL,177.09,180.42,177.07,180.33,176.29729,74919600
2021-12-27,MSFT,335.46,342.48,335.43,342.45,329.87973,19947000
2021-12-27,SPY,472.06,477.31,472.01,477.26,449.06302,56808600
2021-12-28,AAPL,180.16,181.33,178.53,179.29,175.28055,79144304
2021-12-28,MSFT,343.15,343.81,340.32,341.25,328.72375,15661500
2021-12-28,SPY,477.72,478.81,476.06,476.87,448.69608,47274600
2021-12-29,AAPL,179.33,180.63,178.14,179.38,175.36853,62348900
2021-12-29,MSFT,341.3,344.3,339.68,341.95,329.39813,15042000
2021-12-29,SPY,476.98,478.56,475.92,477.48,449.27002,54503000
2021-12-30,AAPL,179.47,180.57,178.09,178.2,174.21494,59773000
2021-12-30,MSFT,341.91,343.13,338.82,339.32,326.86465,15994500
2021-12-30,SPY,477.93,479,475.67,476.16,448.02808,55329000
2021-12-31,AAPL,178.09,179.23,177.26,177.57,173.59901,64062300
2021-12-31,MSFT,338.51,339.36,335.85,336.32,323.97476,18000800
2021-12-31,SPY,475.64,476.86,474.67,474.96,446.89896,65237400
2022-01-03,AAPL,177.83,182.88,177.71,182.01,177.93971,104487904
2022-01-03,MSFT,335.35,338,329.78,334.75,322.46237,28865100
2022-01-03,SPY,476.3,477.85,473.85,477.71,449.48645,72668200
2022-01-04,AAPL,182.63,182.94,179.12,179.7,175.68138,99310400
2022-01-04,MSFT,334.83,335.2,326.12,329.01,316.93307,32674300
2022-01-04,SPY,479.22,479.98,475.58,477.55,449.33588,71178704
2022-01-05,AAPL,179.61,180.17,174.64,174.92,171.00833,94537600
2022-01-05,MSFT,325.86,326.07,315.98,316.38,304.76663,40054300
2022-01-05,SPY,477.16,477.98,468.28,468.38,440.70767,104538896
2022-01-06,AAPL,172.7,175.3,171.64,172,168.15361,96904000
2022-01-06,MSFT,313.15,318.7,311.49,313.88,302.35846,39646100
2022-01-06,SPY,467.89,470.82,465.43,467.94,440.2937,86858896
2022-01-07,AAPL,172.89,174.14,171.03,172.17,168.31973,86709104
2022-01-07,MSFT,314.15,316.5,310.09,314.04,302.51257,32720000
2022-01-07,SPY,467.95,469.2,464.65,466.09,438.55298,85111600
2022-01-10,AAPL,169.08,172.5,168.17,172.19,168.33936,106765600
2022-01-10,MSFT,309.49,314.72,304.69,314.27,302.73407,44289500
2022-01-10,SPY,462.7,465.74,456.6,465.51,438.00732,119362000
2022-01-11,AAPL,172.32,175.18,170.82,175.08,171.1647,76138304
2022-01-11,MSFT,313.38,316.61,309.89,314.98,303.4181,29386800
2022-01-11,SPY,465.23,469.85,462.05,469.75,441.99677,74303104
2022-01-12,AAPL,176.12,177.18,174.82,175.53,171.60464,74805200
2022-01-12,MSFT,319.67,323.41,317.08,318.27,306.58725,34372200
2022-01-12,SPY,471.59,473.2,468.94,471.02,443.19174,67605400
2022-01-13,AAPL,175.78,176.62,171.79,172.19,168.33936,84505800
2022-01-13,MSFT,320.47,320.88,304,304.8,293.61166,45366000
2022-01-13,SPY,472.19,472.88,463.44,464.53,437.0851,91173104
2022-01-14,AAPL,171.34,173.78,171.09,173.07,169.19966,80440800
2022-01-14,MSFT,304.25,310.82,303.75,310.2,298.81357,39846400
2022-01-14,SPY,461.19,465.09,459.9,464.72,437.26392,95890896
2022-01-18,AAPL,171.51,172.54,169.41,169.8,166.00276,90956704
2022-01-18,MSFT,304.07,309.8,301.74,302.65,291.54065,42333200
2022-01-18,SPY,459.74,459.96,455.31,456.49,429.5201,109709104
